Object,log_N(HI)
HD 101065,---
HD 103779,21.16
HD 104705,21.1
HD 109399,21.11
HD 111934,---
HD 112272,---
HD 113904,21.08
HD 114886,21.34
HD 116852,20.96
HD 122879,21.26
HD 124314,21.41
HD 133518,---
HD 135591,21.08
HD 143275,21.15
HD 144470,21.17
HD 145502,21.07
HD 147084,---
HD 147165,21.34
HD 147683,21.2
HD 147888,21.69
HD 147889,21.46
HD 147933,21.64
HD 147934,---
HD 148605,20.68
HD 148937,21.6
HD 149038,21
HD 149404,---
HD 149757,20.72
HD 150136,---
HD 151804,21.08
HD 152408,21.27
HD 152424,---
HD 153919,---
HD 154043,---
HD 155806,21.08
HD 156201,---
HD 157246,20.68
HD 157978,---
HD 158926,19.23
HD 164073,---
HD 164353,21
HD 164740,21.95
HD 164906,---
HD 165319,---
HD 166937,---
HD 167264,21.15
HD 167838,---
HD 167971,21.6
HD 168076,21.65
HD 169454,---
HD 170740,21.03
HD 170938,---
HD 171957,---
HD 172694,---
HD 180554,---
HD 183143,---
HD 184915,20.85
HD 185418,21.19
HD 185859,21.23
HD 186745,---
HD 186841,---
HD 203532,20.22
HD 22951,21.04
HD 23016,---
HD 23180,20.88
HD 24398,20.8
HD 27778,20.35
HD 303308,21.41
HD 34748,21.16
HD 36486,20.19
HD 36695,20.7
HD 36822,20.81
HD 36861,20.78
HD 36982,21.57
HD 37020,21.48
HD 37021,21.68
HD 37022,21.54
HD 37023,21.52
HD 37041,21.1
HD 37061,21.73
HD 37128,20.45
HD 37367,21.18
HD 37903,21.12
HD 38087,20.91
HD 38771,20.52
HD 39680,21.3
HD 40111,20.9
HD 41117,21.4
HD 43384,21.27
HD 45314,21.04
HD 49787,---
HD 50820,---
HD 53975,21.13
HD 54439,---
HD 54662,21.38
HD 55879,20.9
HD 57061,20.7
HD 61827,---
HD 66194,---
HD 66811,19.96
HD 73882,21.11
HD 75309,21.07
HD 75860,---
HD 79186,21.18
HD 80558,---
HD 81188,19.95
HD 91824,21.12
HD 93030,20.26
HD 93205,21.38
HD 93222,21.4
HD 93843,21.33
HD 94493,21.08
HD 99953,21.48