Object,log_N(H2)
HD 101065,---
HD 103779,19.82
HD 104705,20.08
HD 109399,20.04
HD 111934,---
HD 112272,---
HD 113904,19.83
HD 114886,20.23
HD 116852,19.79
HD 122879,20.24
HD 124314,20.52
HD 133518,---
HD 135591,19.77
HD 143275,19.41
HD 144470,20.05
HD 145502,19.89
HD 147084,---
HD 147165,19.79
HD 147683,20.68
HD 147888,20.48
HD 147889,21.37
HD 147933,20.57
HD 147934,
HD 148605,18.74
HD 148937,20.71
HD 149038,20.45
HD 149404,---
HD 149757,20.65
HD 150136,---
HD 151804,20.26
HD 152408,20.38
HD 152424,---
HD 153919,---
HD 154043,---
HD 155806,19.92
HD 156201,---
HD 157246,19.23
HD 157978,---
HD 158926,12.7
HD 164073,---
HD 164353,20.26
HD 164740,20.19
HD 164906,---
HD 165319,---
HD 166937,---
HD 167264,20.28
HD 167838,---
HD 167971,20.85
HD 168076,20.68
HD 169454,---
HD 170740,20.86
HD 170938,---
HD 171957,---
HD 172694,---
HD 180554,---
HD 183143,---
HD 184915,20.31
HD 185418,20.71
HD 185859,---
HD 186745,---
HD 186841,---
HD 203532,20.64
HD 22951,20.46
HD 23016,---
HD 23180,20.6
HD 24398,20.67
HD 27778,20.72
HD 303308,20.34
HD 34748,---
HD 36486,14.68
HD 36695,---
HD 36822,19.32
HD 36861,19.12
HD 36982,---
HD 37020,---
HD 37021,---
HD 37022,17.55
HD 37023,---
HD 37041,---
HD 37061,---
HD 37128,16.57
HD 37367,20.53
HD 37903,20.85
HD 38087,20.64
HD 38771,15.68
HD 39680,19.53
HD 40111,19.73
HD 41117,20.69
HD 43384,20.87
HD 45314,20.6
HD 49787,---
HD 50820,---
HD 53975,19.18
HD 54439,---
HD 54662,20
HD 55879,---
HD 57061,15.48
HD 61827,---
HD 66194,---
HD 66811,14.45
HD 73882,21.08
HD 75309,20.2
HD 75860,---
HD 79186,20.72
HD 80558,---
HD 81188,17.7
HD 91824,19.85
HD 93030,15.02
HD 93205,19.78
HD 93222,19.78
HD 93843,19.61
HD 94493,20.15
HD 99953,---