Object,f(H2)
HD 101065,---
HD 103779,0.084
HD 104705,0.16
HD 109399,0.145
HD 111934,---
HD 112272,---
HD 113904,0.101
HD 114886,0.134
HD 116852,0.119
HD 122879,0.16
HD 124314,0.205
HD 133518,---
HD 135591,0.089
HD 143275,0.035
HD 144470,0.132
HD 145502,0.117
HD 147084,---
HD 147165,0.053
HD 147683,0.377
HD 147888,0.11
HD 147889,0.619
HD 147933,0.145
HD 147934,---
HD 148605,0.022
HD 148937,0.205
HD 149038,0.36
HD 149404,---
HD 149757,0.63
HD 150136,---
HD 151804,0.232
HD 152408,0.205
HD 152424,---
HD 153919,---
HD 154043,---
HD 155806,0.122
HD 156201,---
HD 157246,0.066
HD 157978,---
HD 158926,0
HD 164073,---
HD 164353,0.265
HD 164740,0.034
HD 164906,---
HD 165319,---
HD 166937,---
HD 167264,0.212
HD 167838,---
HD 167971,0.262
HD 168076,0.176
HD 169454,---
HD 170740,0.575
HD 170938,---
HD 171957,---
HD 172694,---
HD 180554,---
HD 183143,---
HD 184915,0.366
HD 185418,0.398
HD 185859,---
HD 186745,---
HD 186841,---
HD 203532,0.84
HD 22951,0.345
HD 23016,---
HD 23180,0.512
HD 24398,0.597
HD 27778,0.824
HD 303308,0.145
HD 34748,---
HD 36486,0
HD 36695,---
HD 36822,0.061
HD 36861,0.042
HD 36982,---
HD 37020,---
HD 37021,---
HD 37022,0
HD 37023,---
HD 37041,---
HD 37061,---
HD 37128,0
HD 37367,0.314
HD 37903,0.518
HD 38087,0.518
HD 38771,0
HD 39680,0.033
HD 40111,0.119
HD 41117,0.28
HD 43384,0
HD 45314,0.421
HD 49787,---
HD 50820,---
HD 53975,0.022
HD 54439,---
HD 54662,0.077
HD 55879,---
HD 57061,0
HD 61827,---
HD 66194,---
HD 66811,0
HD 73882,0.651
HD 75309,0.212
HD 75860,---
HD 79186,0.409
HD 80558,---
HD 81188,0.011
HD 91824,0.097
HD 93030,0
HD 93205,0.048
HD 93222,0.046
HD 93843,0.037
HD 94493,0.19
HD 99953,---
,