reference_ID,nickname,doi,url,comments
1,SIMBAD,,http://simbad.u-strasbg.fr/simbad/sim-fid,Directly taken from SIMBAD
2,Tycho,,,
3,Valencic04,https://ui.adsabs.harvard.edu/link_gateway/2004ApJ...616..912V/doi:10.1086/424922,https://iopscience.iop.org/article/10.1086/424922/fulltext/60787.tables.html,
4,EBV_SIMBAD,,http://simbad.u-strasbg.fr/simbad/sim-fid,(B-V) from SIMBAD
5,W03,,,Wegner W. 2003 Astron. Nachr. 324 219
6,FP,,,Fitzpatrick & Massa (2007)
7,Jenkins, https://ui.adsabs.harvard.edu/abs/2009ApJ...700.1299J/abstract,,
8,Morton1,https://ui.adsabs.harvard.edu/abs/1991ApJS...77..119M/abstract,,
9,Morton2,https://ui.adsabs.harvard.edu/abs/2000ApJS..130..403M/abstract,,
10,Morton3,https://ui.adsabs.harvard.edu/abs/2003ApJS..149..205M/abstract,,
99,Unknown,,,